File #,DateTime,Operator,Material,ID,SAMPLE,Projekt,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ba,Ba Err,Pb,Pb Err,Th,Th Err,U,U Err,Cal Check
4527,4/30/2025 15:17,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8322,0.1105,8.337,0.079,19.9342,0.0795,< LOD,0.0052,0.036,0.0039,4.4329,0.0144,0.2901,0.0032,0.3349,0.0029,0.011,0.0013,0.006,0.0007,0.0144,0.0008,2.8032,0.0067,< LOD,0.0002,0.0017,0.0003,0.0041,0.0003,0.0025,0.0003,0.0031,0.0002,0.0226,0.0003,0.0038,0.0002,0.0034,0.0002,0.0149,0.0002,0.0013,0.0002,0.001,0.0002,0.1251,0.0165,0.001,0.0003,0.0023,0.0001,0.0012,0.0005,Passed
4528,4/30/2025 15:21,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.7681,0.1108,8.1836,0.0784,19.7093,0.079,< LOD,0.0052,0.0352,0.0039,4.3961,0.0143,0.2873,0.0032,0.3437,0.003,0.0105,0.0013,0.0048,0.0007,0.0137,0.0008,2.8114,0.0067,< LOD,0.0002,0.0018,0.0003,0.0041,0.0003,0.0026,0.0003,0.0034,0.0002,0.0226,0.0003,0.0038,0.0002,0.0037,0.0003,0.0143,0.0002,0.0012,0.0002,0.001,0.0002,0.133,0.0166,0.0009,0.0003,0.0023,0.0001,0.0012,0.0005,Passed
4529,4/30/2025 15:24,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.839,0.1108,8.2587,0.0786,19.7936,0.0791,< LOD,0.0051,0.0449,0.004,4.3779,0.0143,0.2954,0.0032,0.3114,0.0028,0.0121,0.0013,0.0055,0.0007,0.0139,0.0008,2.7531,0.0066,0.0004,0.0002,0.0021,0.0003,0.0039,0.0003,0.0026,0.0003,0.003,0.0002,0.0224,0.0003,0.0037,0.0002,0.0034,0.0002,0.0143,0.0002,0.0012,0.0002,0.001,0.0002,0.1445,0.0164,0.001,0.0003,0.0022,0.0001,0.0014,0.0005,Passed
4530,4/30/2025 15:26,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9294,0.1127,8.2663,0.0786,19.7156,0.0789,< LOD,0.0052,0.0417,0.0039,4.4067,0.0144,0.298,0.0033,0.3139,0.0029,0.0116,0.0013,0.0056,0.0007,0.0135,0.0008,2.7615,0.0066,< LOD,0.0002,0.0019,0.0003,0.0041,0.0003,0.0027,0.0003,0.0031,0.0002,0.0223,0.0003,0.0037,0.0002,0.0034,0.0002,0.0143,0.0002,0.0014,0.0002,0.001,0.0002,0.1472,0.0165,0.0007,0.0003,0.0022,0.0001,0.0016,0.0005,Passed
4531,4/30/2025 15:33,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8221,0.1098,8.2713,0.0787,19.8899,0.0793,< LOD,0.0052,0.038,0.004,4.4104,0.0144,0.2957,0.0033,0.3114,0.0028,0.0104,0.0013,0.005,0.0007,0.0128,0.0008,2.7657,0.0066,< LOD,0.0002,0.002,0.0003,0.0041,0.0003,0.003,0.0003,0.0032,0.0002,0.0223,0.0003,0.0035,0.0002,0.0033,0.0002,0.0142,0.0002,0.0013,0.0002,0.001,0.0002,0.1376,0.0164,0.0008,0.0003,0.0022,0.0001,0.0013,0.0005,Passed
4532,4/30/2025 15:36,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8658,0.1104,8.2766,0.0786,19.7878,0.0791,< LOD,0.0051,0.0486,0.004,4.3927,0.0143,0.2979,0.0033,0.3209,0.0029,0.0118,0.0013,0.0052,0.0007,0.0134,0.0008,2.7542,0.0066,0.0002,0.0002,0.0019,0.0003,0.004,0.0003,0.0022,0.0003,0.0028,0.0002,0.0228,0.0003,0.004,0.0002,0.0035,0.0002,0.0141,0.0002,0.0012,0.0002,0.0008,0.0002,0.1399,0.0165,0.0011,0.0003,0.0023,0.0001,0.0019,0.0005,Passed
4533,4/30/2025 15:38,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.7813,0.1101,8.2721,0.0787,19.7916,0.0791,< LOD,0.0052,0.0411,0.004,4.3914,0.0143,0.3052,0.0033,0.304,0.0028,0.0109,0.0012,0.0058,0.0007,0.0139,0.0008,2.7363,0.0066,< LOD,0.0002,0.0017,0.0003,0.004,0.0003,0.0027,0.0003,0.0031,0.0002,0.0224,0.0003,0.0038,0.0002,0.0036,0.0002,0.0142,0.0002,0.0015,0.0002,0.0009,0.0002,0.1503,0.0164,0.0007,0.0003,0.0023,0.0001,0.001,0.0005,Passed
4534,4/30/2025 15:41,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9769,0.1172,9.2653,0.0835,22.6854,0.0855,< LOD,0.0055,0.0393,0.0041,4.7999,0.0153,0.3356,0.0035,0.3791,0.0031,0.0113,0.0013,0.0056,0.0007,0.0175,0.0009,2.9329,0.0068,< LOD,0.0002,0.0018,0.0003,0.0044,0.0003,0.0026,0.0003,0.0035,0.0002,0.0234,0.0003,0.004,0.0002,0.0037,0.0002,0.0167,0.0002,0.0016,0.0002,0.001,0.0002,0.1299,0.0168,0.0011,0.0003,0.0023,0.0001,0.0016,0.0005,Passed
4535,4/30/2025 15:43,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9247,0.1154,9.5882,0.0846,22.9086,0.0859,< LOD,0.0055,0.0415,0.0042,5.0138,0.0157,0.3213,0.0035,0.3107,0.0029,0.0121,0.0013,0.0059,0.0007,0.0138,0.0008,2.8011,0.0066,0.0002,0.0002,0.002,0.0003,0.0039,0.0003,0.0026,0.0003,0.0032,0.0002,0.0234,0.0003,0.0037,0.0002,0.0036,0.0002,0.0155,0.0002,0.0014,0.0002,0.0009,0.0002,0.1459,0.0165,0.001,0.0003,0.0022,0.0001,0.0012,0.0005,Passed
4536,4/30/2025 15:47,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.856,0.1106,8.4644,0.0794,20.2753,0.08,< LOD,0.0052,0.0454,0.004,4.4662,0.0145,0.2839,0.0032,0.3375,0.0029,0.0122,0.0013,0.0046,0.0007,0.0143,0.0008,2.6966,0.0065,< LOD,0.0002,0.0019,0.0003,0.0038,0.0003,0.0026,0.0003,0.0028,0.0002,0.0225,0.0003,0.0038,0.0002,0.0032,0.0002,0.0142,0.0002,0.0012,0.0002,0.0009,0.0002,0.1262,0.0164,0.0008,0.0003,0.0022,0.0001,0.0013,0.0005,Passed
4515,4/28/2025 18:36,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2498,0.0753,< LOD,0.0192,26.9724,0.0799,0.0075,0.0043,0.0492,0.0035,< LOD,0.0019,0.0039,0.0014,< LOD,0.001,0.0033,0.0008,0.0044,0.0006,0.0116,0.0008,0.0161,0.0011,< LOD,0,0.0002,0.0001,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,0.0003,0.0002,0.0442,0.0115,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4516,4/28/2025 18:40,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2508,0.0756,< LOD,0.0193,27.3621,0.0804,0.0057,0.0043,0.0597,0.0035,< LOD,0.0018,< LOD,0.0013,0.0049,0.0011,0.002,0.0008,0.0039,0.0006,0.0076,0.0008,0.0169,0.0012,< LOD,0,< LOD,0.0001,0.0012,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0116,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4517,4/28/2025 18:42,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.206,0.075,< LOD,0.0192,27.3994,0.0804,0.0106,0.0043,0.0622,0.0036,< LOD,0.0018,< LOD,0.0013,0.0056,0.0011,0.0025,0.0008,0.0039,0.0006,0.0084,0.0008,0.0197,0.0011,< LOD,0,< LOD,0.0001,0.0011,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,0.0125,0.0115,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4518,4/28/2025 18:45,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2826,0.0753,< LOD,0.0192,27.4339,0.0805,0.0074,0.0043,0.0607,0.0036,< LOD,0.0018,< LOD,0.0013,0.0057,0.0011,0.0012,0.0008,0.0032,0.0006,0.0065,0.0008,0.0139,0.0012,< LOD,0,< LOD,0.0001,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,0.0002,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0117,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4519,4/28/2025 18:47,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2477,0.076,< LOD,0.0195,27.4818,0.0806,0.0091,0.0044,0.0595,0.0036,< LOD,0.0018,< LOD,0.0013,0.0053,0.0011,0.0017,0.0008,0.0037,0.0006,0.0062,0.0008,0.015,0.0012,< LOD,0,0.0003,0.0002,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0117,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4520,4/28/2025 18:49,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2132,0.0755,< LOD,0.0196,27.4727,0.0806,0.007,0.0043,0.0585,0.0036,< LOD,0.0018,< LOD,0.0013,0.0066,0.0011,< LOD,0.0009,0.0021,0.0006,0.0041,0.0008,0.0144,0.0012,< LOD,0,< LOD,0.0001,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0118,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4521,4/28/2025 18:51,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2804,0.0754,< LOD,0.0193,27.5463,0.0807,0.0044,0.0043,0.0616,0.0035,< LOD,0.0018,< LOD,0.0013,0.0056,0.0011,0.0021,0.0008,0.0039,0.0006,0.0075,0.0008,0.0166,0.0011,< LOD,0,0.0002,0.0002,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,0.0003,0.0002,< LOD,0.0116,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4522,4/28/2025 18:54,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2445,0.0757,< LOD,0.0194,27.5774,0.0807,0.0065,0.0044,0.0552,0.0035,< LOD,0.0018,< LOD,0.0013,0.0049,0.0011,0.001,0.0008,0.0038,0.0006,0.0067,0.0008,0.0155,0.0012,< LOD,0,< LOD,0.0001,0.0012,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0117,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4523,4/28/2025 18:56,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2331,0.0752,< LOD,0.0195,27.4953,0.0806,0.0112,0.0044,0.0605,0.0036,< LOD,0.0018,< LOD,0.0013,0.004,0.0011,0.0017,0.0008,0.0045,0.0006,0.0084,0.0008,0.0186,0.0011,< LOD,0,< LOD,0.0001,0.0012,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,0.0164,0.0116,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
4524,4/28/2025 18:59,Supervisor,Standard,,SiO2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.1983,0.0728,< LOD,0.0193,27.5993,0.0807,0.0084,0.0043,0.0603,0.0035,< LOD,0.0018,< LOD,0.0013,0.0047,0.0011,0.0021,0.0008,0.0037,0.0006,0.0074,0.0008,0.017,0.0011,< LOD,0,0.0002,0.0001,0.0013,0.0002,< LOD,0.0001,< LOD,0.0001,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,0.0005,0.0002,< LOD,0.0117,< LOD,0.0003,< LOD,0,< LOD,0.0005,Passed
2673,2/26/2025 19:32,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2458,0.099,4.6529,0.0618,24.601,0.0842,0.0207,0.0059,0.2016,0.0055,3.4553,0.0129,0.6509,0.0046,0.1472,0.0022,0.0068,0.0012,0.004,0.0007,0.0899,0.0012,1.871,0.0053,0.0002,0.0001,0.0051,0.0003,0.0273,0.0006,0.0894,0.0008,0.0403,0.0005,0.0148,0.0002,0.0151,0.0002,0.0054,0.0002,0.0202,0.0003,0.0022,0.0002,0.0024,0.0002,0.1449,0.0157,0.0451,0.0005,0.0017,0.0001,0.0005,0.0005,Passed
2674,2/26/2025 19:35,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2491,0.1001,4.8572,0.0629,25.1763,0.0853,0.019,0.006,0.2044,0.0056,3.5555,0.0131,0.6709,0.0047,0.1497,0.0023,0.0076,0.0012,0.0039,0.0007,0.0921,0.0012,1.8769,0.0053,0.0001,0.0001,0.005,0.0003,0.0283,0.0006,0.0904,0.0008,0.0406,0.0005,0.015,0.0002,0.0152,0.0002,0.0057,0.0002,0.0217,0.0003,0.0021,0.0002,0.0026,0.0002,0.135,0.0157,0.0458,0.0005,0.0018,0.0001,0.0008,0.0005,Passed
2675,2/26/2025 19:38,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3042,0.0982,4.6201,0.0614,24.1901,0.0834,0.0185,0.0058,0.2009,0.0055,3.3948,0.0128,0.649,0.0046,0.1452,0.0022,0.0073,0.0011,0.0038,0.0007,0.0886,0.0012,1.8593,0.0053,< LOD,0.0001,0.0053,0.0003,0.0281,0.0006,0.0894,0.0008,0.0396,0.0005,0.0148,0.0002,0.0152,0.0002,0.0055,0.0002,0.0201,0.0003,0.0021,0.0002,0.0023,0.0002,0.1457,0.0157,0.0446,0.0005,0.0018,0.0001,0.0007,0.0005,Passed
2676,2/26/2025 19:40,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.309,0.1009,4.8688,0.063,25.451,0.0857,0.0185,0.0061,0.1989,0.0056,3.5906,0.0132,0.6776,0.0047,0.1464,0.0023,0.0058,0.0012,0.0034,0.0007,0.0912,0.0012,1.8778,0.0053,< LOD,0.0001,0.005,0.0004,0.029,0.0006,0.0904,0.0008,0.0411,0.0005,0.0151,0.0002,0.015,0.0002,0.0054,0.0002,0.0215,0.0003,0.0021,0.0002,0.0024,0.0002,0.1487,0.0158,0.0458,0.0005,0.0017,0.0001,< LOD,0.0005,Passed
2677,2/26/2025 19:43,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3095,0.1004,4.4342,0.0604,23.324,0.0818,0.0131,0.0058,0.1833,0.0054,3.2769,0.0125,0.626,0.0045,0.1389,0.0022,0.0056,0.0011,0.0031,0.0007,0.0854,0.0012,1.8304,0.0053,< LOD,0.0001,0.0053,0.0004,0.0284,0.0006,0.0909,0.0009,0.0404,0.0005,0.0145,0.0002,0.0149,0.0003,0.0055,0.0002,0.0192,0.0002,0.0021,0.0002,0.0023,0.0002,0.1366,0.0157,0.0429,0.0005,0.0017,0.0001,0.0005,0.0005,Passed
2678,2/26/2025 19:46,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3513,0.1004,4.6164,0.0614,23.9511,0.083,0.0204,0.0059,0.1955,0.0055,3.3789,0.0127,0.6432,0.0045,0.1441,0.0022,0.0075,0.0011,0.0037,0.0007,0.0882,0.0012,1.8515,0.0053,< LOD,0.0001,0.0053,0.0004,0.0294,0.0006,0.0923,0.0009,0.0413,0.0005,0.0147,0.0002,0.0152,0.0003,0.0056,0.0002,0.0199,0.0003,0.002,0.0002,0.0019,0.0002,0.1393,0.0156,0.0438,0.0005,0.0018,0.0001,0.0006,0.0005,Passed
2679,2/26/2025 19:48,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.2715,0.0972,4.5225,0.0608,23.6435,0.0824,0.0175,0.0058,0.1975,0.0055,3.3125,0.0126,0.6313,0.0045,0.1392,0.0022,0.0067,0.0011,0.004,0.0007,0.0872,0.0012,1.8399,0.0053,0.0002,0.0001,0.005,0.0004,0.0283,0.0006,0.0907,0.0009,0.0405,0.0005,0.0144,0.0002,0.0149,0.0003,0.0054,0.0002,0.0195,0.0003,0.002,0.0002,0.0021,0.0002,0.1487,0.0156,0.0425,0.0005,0.0017,0.0001,< LOD,0.0005,Passed
2680,2/26/2025 19:51,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3101,0.0962,3.8328,0.0566,20.2211,0.0758,< LOD,0.0054,0.1665,0.0051,2.8546,0.0114,0.56,0.0042,0.123,0.0021,0.0055,0.0011,0.0026,0.0006,0.0778,0.0011,1.7497,0.0052,< LOD,0.0001,0.0048,0.0004,0.0275,0.0006,0.0889,0.0009,0.04,0.0005,0.0134,0.0002,0.0151,0.0003,0.0052,0.0003,0.017,0.0002,0.0019,0.0002,0.0021,0.0002,0.1428,0.0154,0.0388,0.0004,0.0017,0.0001,0.0005,0.0005,Passed
2681,2/26/2025 19:55,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3352,0.1006,4.6063,0.0613,23.7033,0.0825,0.0156,0.0058,0.1973,0.0054,3.3218,0.0126,0.6353,0.0045,0.1388,0.0022,0.0067,0.0011,0.0035,0.0007,0.0886,0.0012,1.8403,0.0053,< LOD,0.0001,0.005,0.0004,0.028,0.0006,0.0896,0.0008,0.0401,0.0005,0.0148,0.0002,0.0151,0.0003,0.0055,0.0002,0.0192,0.0003,0.002,0.0002,0.0023,0.0002,0.1354,0.0156,0.0435,0.0005,0.0018,0.0001,0.0008,0.0005,Passed
2682,2/26/2025 19:57,Supervisor,Standard,,SdAR-M2,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.3521,0.0995,4.6198,0.0614,24.067,0.0832,0.0164,0.0059,0.1981,0.0055,3.3709,0.0127,0.6385,0.0045,0.1357,0.0022,0.0058,0.0011,0.0034,0.0007,0.0865,0.0012,1.8459,0.0053,< LOD,0.0001,0.0049,0.0004,0.0282,0.0006,0.0913,0.0009,0.0408,0.0005,0.0147,0.0002,0.0153,0.0003,0.0055,0.0002,0.0197,0.0003,0.0021,0.0002,0.0021,0.0002,0.1509,0.0156,0.0434,0.0005,0.0018,0.0001,0.0008,0.0005,Passed
